"ITTER107","Territorio","TIPO_DATO_ISTR","Tipo dato","SEXISTAT1","Sesso","CITTADINANZA","Cittadinanza","ORDINESCOL2","Ordine scolastico","NATGIUR1","Gestione della scuola","TIPO_SCUOLA2","Tipo di scuola superiore","TIME","Seleziona anno (anno t= anno sc. t-1 / t)","Value","Flag Codes","Flags"
"ITC3","Liguria","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","ART","istituto d arte","2019","2019",66,,
"ITD","Nord-est","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",209414,,
"ITE3","Marche","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","COMM","istituto tecnico commerciale","2019","2019",4157,,
"ITC1","Piemonte","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","VOC_OTH","altri istituti professionali","2019","2019",35,,
"ITE3","Marche","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",366,,
"ITF","Sud","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",121,,
"ITE2","Umbria","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","COMM","istituto tecnico commerciale","2019","2019",1475,,
"ITE4","Lazio","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","ART","istituto d arte","2019","2019",16,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","SCI","liceo scientifico","2019","2019",4938,,
"ITD5","Emilia-Romagna","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","ARTI","liceo artistico","2019","2019",790,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",998,,
"ITC3","Liguria","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",1955,,
"ITE4","Lazio","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","SCI","liceo scientifico","2019","2019",35306,,
"ITE3","Marche","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",3,,
"ITC4","Lombardia","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","LIN","liceo linguistico","2019","2019",80,,
"ITD4","Friuli-Venezia Giulia","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COM","istituto professionale per i servizi commerciali","2019","2019",10,,
"ITD5","Emilia-Romagna","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",12,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","CLA","liceo classico","2019","2019",10,,
"ITC","Nord-ovest","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","CLA","liceo classico","2019","2019",197,,
"ITE3","Marche","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","INDU","istituto tecnico industriale","2019","2019",7043,,
"ITF","Sud","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","SCI","liceo scientifico","2019","2019",1191,,
"ITE2","Umbria","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","STA","statale","COMM","istituto tecnico commerciale","2019","2019",308,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",1,,
"ITF","Sud","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",45,,
"ITD","Nord-est","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",1336,,
"ITE","Centro","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",48748,,
"ITF2","Molise","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COMM","istituto tecnico commerciale","2019","2019",1605,,
"ITE2","Umbria","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COM","istituto professionale per i servizi commerciali","2019","2019",55,,
"ITC1","Piemonte","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",27,,
"ITD5","Emilia-Romagna","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",4907,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",743,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","SUR","istituto tecnico per geometri","2019","2019",5,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","SCI","liceo scientifico","2019","2019",5013,,
"ITD","Nord-est","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","TECH","altri istituti tecnici","2019","2019",1801,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",523,,
"ITF1","Abruzzo","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","ARTI","liceo artistico","2019","2019",88,,
"ITC1","Piemonte","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",83902,,
"ITC3","Liguria","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",448,,
"ITD5","Emilia-Romagna","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",4907,,
"ITE4","Lazio","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","COM","istituto professionale per i servizi commerciali","2019","2019",28,,
"ITD","Nord-est","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",32798,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","CLA","liceo classico","2019","2019",214,,
"ITE1","Toscana","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",58,,
"ITE4","Lazio","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","INDU","istituto tecnico industriale","2019","2019",2221,,
"IT","Italia","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ALL","totale","2019","2019",1308241,,
"ITD","Nord-est","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",51,,
"ITF","Sud","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",1933,,
"ITF1","Abruzzo","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",6591,,
"ITC","Nord-ovest","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",1105,,
"ITE","Centro","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",9840,,
"ITE1","Toscana","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","CLA","liceo classico","2019","2019",29,,
"ITE4","Lazio","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","ARTI","liceo artistico","2019","2019",21,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","INDU","istituto tecnico industriale","2019","2019",89,,
"ITD","Nord-est","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","TECH","altri istituti tecnici","2019","2019",1073,,
"ITD3","Veneto","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","CLA","liceo classico","2019","2019",19926,,
"ITE2","Umbria","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","INDU","istituto tecnico industriale","2019","2019",242,,
"ITE3","Marche","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","INDU","istituto tecnico industriale","2019","2019",519,,
"ITF","Sud","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",2423,,
"ITF3","Campania","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ARTI","liceo artistico","2019","2019",14,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","COMM","istituto tecnico commerciale","2019","2019",6185,,
"ITE2","Umbria","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","SUR","istituto tecnico per geometri","2019","2019",100,,
"ITF2","Molise","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COM","istituto professionale per i servizi commerciali","2019","2019",8,,
"ITF","Sud","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","IND","istituto professionale per l'industria e l'artigianato","2019","2019",695,,
"ITF","Sud","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",504,,
"ITF2","Molise","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ART","istituto d arte","2019","2019",6,,
"ITC3","Liguria","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","INDU","istituto tecnico industriale","2019","2019",672,,
"ITD3","Veneto","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","ALL","totale","2019","2019",103,,
"ITC","Nord-ovest","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","STA","statale","COM","istituto professionale per i servizi commerciali","2019","2019",9953,,
"ITD5","Emilia-Romagna","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","COMM","istituto tecnico commerciale","2019","2019",27,,
"ITF3","Campania","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",327,,
"ITC1","Piemonte","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",619,,
"ITC3","Liguria","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","STA","statale","INDU","istituto tecnico industriale","2019","2019",845,,
"IT","Italia","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","STA","statale","COM","istituto professionale per i servizi commerciali","2019","2019",20056,,
"ITC3","Liguria","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",4,,
"ITE4","Lazio","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PRI","privata","VOC_OTH","altri istituti professionali","2019","2019",100,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","SCI","liceo scientifico","2019","2019",17,,
"ITC4","Lombardia","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SUR","istituto tecnico per geometri","2019","2019",49,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","SCI","liceo scientifico","2019","2019",3092,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","INDU","istituto tecnico industriale","2019","2019",2350,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",0,,
"ITC1","Piemonte","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",2015,,
"ITE2","Umbria","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",2596,,
"ITF","Sud","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",12708,,
"ITD","Nord-est","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",895,,
"ITE4","Lazio","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",4634,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","SCI","liceo scientifico","2019","2019",803,,
"ITC1","Piemonte","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",6,,
"ITC1","Piemonte","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","CLA","liceo classico","2019","2019",223,,
"ITD5","Emilia-Romagna","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",837,,
"ITE","Centro","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",30008,,
"IT","Italia","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",12563,,
"ITD4","Friuli-Venezia Giulia","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","ALL","totale","2019","2019",1095,,
"ITE1","Toscana","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",3689,,
"ITE3","Marche","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COM","istituto professionale per i servizi commerciali","2019","2019",1178,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",3128,,
"ITF1","Abruzzo","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SCI","liceo scientifico","2019","2019",696,,
"ITE3","Marche","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",19,,
"ITD5","Emilia-Romagna","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",37,,
"ITE2","Umbria","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",728,,
"ITD","Nord-est","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",211,,
"ITF","Sud","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COMM","istituto tecnico commerciale","2019","2019",5504,,
"ITE3","Marche","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",76,,
"ITC3","Liguria","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","ARTI","liceo artistico","2019","2019",1813,,
"ITF3","Campania","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",56,,
"ITF","Sud","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SUR","istituto tecnico per geometri","2019","2019",576,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","ART","istituto d arte","2019","2019",385,,
"ITD5","Emilia-Romagna","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","TECH","altri istituti tecnici","2019","2019",3898,,
"ITC","Nord-ovest","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","ART","istituto d arte","2019","2019",1,,
"ITF2","Molise","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","STA","statale","ALL","totale","2019","2019",215,,
"ITF3","Campania","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","ALL","totale","2019","2019",13012,,
"ITF3","Campania","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",16434,,
"IT","Italia","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","STA","statale","INDU","istituto tecnico industriale","2019","2019",4239,,
"ITF1","Abruzzo","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","COMM","istituto tecnico commerciale","2019","2019",3593,,
"ITE4","Lazio","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",3310,,
"ITC4","Lombardia","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",199,,
"ITE","Centro","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COM","istituto professionale per i servizi commerciali","2019","2019",12035,,
"ITC4","Lombardia","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",329,,
"ITE","Centro","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COMM","istituto tecnico commerciale","2019","2019",32779,,
"ITE2","Umbria","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",10,,
"ITC3","Liguria","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",25216,,
"ITD5","Emilia-Romagna","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","TECH","altri istituti tecnici","2019","2019",9185,,
"ITE3","Marche","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","ARTI","liceo artistico","2019","2019",79,,
"ITE","Centro","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","STA","statale","COMM","istituto tecnico commerciale","2019","2019",4064,,
"ITF","Sud","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",317,,
"ITD5","Emilia-Romagna","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","TECH","altri istituti tecnici","2019","2019",2,,
"IT","Italia","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","SUR","istituto tecnico per geometri","2019","2019",547,,
"ITF","Sud","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","IND","istituto professionale per l'industria e l'artigianato","2019","2019",12708,,
"ITF1","Abruzzo","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","SUR","istituto tecnico per geometri","2019","2019",490,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","IND","istituto professionale per l'industria e l'artigianato","2019","2019",0,,
"ITD","Nord-est","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",7077,,
"ITF","Sud","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","SCI","liceo scientifico","2019","2019",332,,
"ITC1","Piemonte","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SUR","istituto tecnico per geometri","2019","2019",23,,
"ITE","Centro","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","COMM","istituto tecnico commerciale","2019","2019",32779,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","COMM","istituto tecnico commerciale","2019","2019",3074,,
"IT","Italia","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","VOC_OTH","altri istituti professionali","2019","2019",4808,,
"ITD5","Emilia-Romagna","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",19,,
"ITC3","Liguria","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","ARTI","liceo artistico","2019","2019",142,,
"ITC1","Piemonte","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","IND","istituto professionale per l'industria e l'artigianato","2019","2019",5188,,
"ITC","Nord-ovest","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",56,,
"ITC4","Lombardia","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","COMM","istituto tecnico commerciale","2019","2019",32,,
"ITC","Nord-ovest","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",2397,,
"ITC4","Lombardia","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",319,,
"ITD3","Veneto","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","ALL","totale","2019","2019",7551,,
"ITF1","Abruzzo","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","SUR","istituto tecnico per geometri","2019","2019",43,,
"ITD","Nord-est","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COM","istituto professionale per i servizi commerciali","2019","2019",9667,,
"ITD1","Provincia Autonoma Bolzano / Bozen","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COM","istituto professionale per i servizi commerciali","2019","2019",65,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",10786,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","STA","statale","SCI","liceo scientifico","2019","2019",217,,
"ITD","Nord-est","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",49443,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PRI","privata","TECH","altri istituti tecnici","2019","2019",523,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","SCI","liceo scientifico","2019","2019",244,,
"ITE4","Lazio","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","ART","istituto d arte","2019","2019",254,,
"IT","Italia","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","ARTI","liceo artistico","2019","2019",17507,,
"ITE4","Lazio","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","COM","istituto professionale per i servizi commerciali","2019","2019",335,,
"ITE4","Lazio","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COM","istituto professionale per i servizi commerciali","2019","2019",28,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COMM","istituto tecnico commerciale","2019","2019",4,,
"ITD3","Veneto","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",9,,
"ITD3","Veneto","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","COMM","istituto tecnico commerciale","2019","2019",129,,
"ITE1","Toscana","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","CLA","liceo classico","2019","2019",120,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","COMM","istituto tecnico commerciale","2019","2019",2876,,
