"ITTER107","Territorio","TIPO_DATO_ISTR","Tipo dato","SEXISTAT1","Sesso","CITTADINANZA","Cittadinanza","ORDINESCOL2","Ordine scolastico","NATGIUR1","Gestione della scuola","TIPO_SCUOLA2","Tipo di scuola superiore","TIME","Seleziona anno (anno t= anno sc. t-1 / t)","Value","Flag Codes","Flags"
"ITC4","Lombardia","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","LIN","liceo linguistico","2019","2019",46,,
"ITC","Nord-ovest","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SUR","istituto tecnico per geometri","2019","2019",581,,
"ITD","Nord-est","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","INDU","istituto tecnico industriale","2019","2019",4768,,
"ITE2","Umbria","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ALL","totale","2019","2019",1506,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","INDU","istituto tecnico industriale","2019","2019",255,,
"ITE3","Marche","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","COMM","istituto tecnico commerciale","2019","2019",7471,,
"IT","Italia","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","TECH","altri istituti tecnici","2019","2019",110459,,
"ITC3","Liguria","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",3,,
"ITC3","Liguria","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","CLA","liceo classico","2019","2019",2392,,
"ITF3","Campania","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","IND","istituto professionale per l'industria e l'artigianato","2019","2019",9800,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","INDU","istituto tecnico industriale","2019","2019",363,,
"IT","Italia","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","IND","istituto professionale per l'industria e l'artigianato","2019","2019",38685,,
"IT","Italia","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","COM","istituto professionale per i servizi commerciali","2019","2019",7199,,
"ITF3","Campania","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","INDU","istituto tecnico industriale","2019","2019",3895,,
"ITF","Sud","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",359201,,
"ITF2","Molise","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","ART","istituto d arte","2019","2019",2,,
"ITC4","Lombardia","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","ALL","totale","2019","2019",17,,
"ITC","Nord-ovest","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ART","istituto d arte","2019","2019",1052,,
"ITE2","Umbria","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","INDU","istituto tecnico industriale","2019","2019",65,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","COMM","istituto tecnico commerciale","2019","2019",2056,,
"ITC","Nord-ovest","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",836,,
"ITC","Nord-ovest","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","COMM","istituto tecnico commerciale","2019","2019",253,,
"ITC4","Lombardia","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","ALL","totale","2019","2019",22424,,
